ID,English,Persian (fas),Mandarin (cmn),Hindi (hin),Spanish (spa),French (fra),Arabic (ara),Bengali (ben),Portuguese (por),Russian (rus),Urdu (urd),Indonesian (ind),German (deu),Japanese (jpn),Swahili (swa),Marathi (mar),Telugu (tel),Turkish (tur),Korean (kor),Italian (ita)
15,abolish,لغو کردن; منسوخ کردن,废除 (fèichú),समाप्त करना (samāpt karnā),abolir,abolir,يلغي (yulghī),বাতিল করা (batil kora),abolir,отменять,منسوخ کرنا (mansūkh karna),menghapuskan,abschaffen,廃止する (haishi suru),kufuta,रद्द करणे (radda karaṇe),రద్దు చేయడం; రద్దు చేయు,kaldırmak; feshetmek,폐지하다 (pyejihada),abolire
16,aboriginal,بومی,土著的 (tǔzhù de),आदिवासी (ādivāsī),aborigen,aborigène,أصلي (aṣlī),আদিবাসী (adibashi),aborígene,аборигенный,مقامی (maqāmī),pribumi,einheimisch,原住民の (genjūmin no),asilia,मूळचा (mūḷcā),ఆదిమ (ādima),yerli,원주민의 (wonjumin-ui),aborigeno
17,aborigine,بومی (استرالیا),土著居民 (tǔzhù jūmín),आदिवासी (ādivāsī),aborigen,aborigène,ساكن أصلي (sākin aṣlī),আদিবাসী (adibashi),aborígene,абориген,مقامی باشندہ (maqāmī bāshinda),orang asli,Ureinwohner,アボリジニ (aborijini),mwenyeji,आदिवासी (ādivāsī),ఆదివాసి (ādivāsi),Aborjin; yerli,원주민 (wonjumin),aborigeno
18,abortion,سقط جنین,堕胎 (duòtāi),गर्भपात (garbhpāt),aborto,avortement,إجهاض (ijhāḍ),গর্ভপাত (gorbhopat),aborto,аборт,اسقاط حمل (isqāt-e-hamal),aborsi,Abtreibung,中絶 (chūzetsu),utoaji mimba,गर्भपात (garbhapāt),గర్భస్రావం (garbhasrāvaṁ),kürtaj; çocuk düşürme,낙태 (naktae),aborto
19,abound,فراوان بودن,充满 (chōngmǎn),प्रचुर मात्रा में होना (prachur mātrā me honā),abundar,abonder,يكثر (yakthur),প্রচুর পরিমাণে থাকা (prochur porimane thaka),abundar,изобиловать,کثرت سے ہونا (kasrat se honā),berlimpah,reichlich vorhanden sein,豊富である (hōfu de aru),telea,विपुल असणे (vipul asṇe),సమృద్ధిగా ఉండు (samr̥d'dhigā uṇḍu),bol olmak,풍부하다 (pungbuhada),abbondare
20,about,درباره; حدود,关于 (guānyú),के बारे में (ke bāre mein),sobre; acerca de,à propos de; environ,عن; حوالي (ʿan; ḥawālay),সম্পর্কে (shomporke),sobre; a respeito de,о; около,کے بارے میں (ke bāre mein),tentang; kira-kira,über; ungefähr,～について (~ni tsuite),kuhusu,बद्दल (baddal),గురించి (gurin̄ci),hakkında; yaklaşık,~에 대하여; 약 (~e daehayeo; yag),di; riguardo a
21,above,بالا; فراتر از,在...上面 (zài...shàngmiàn),ऊपर (ūpar),encima de,au-dessus de,فوق (fawq),উপরে (upore),acima de,над,اوپر (ūpar),di atas,über,上に (ue ni),juu ya,वर (var),పైన (paina),üstünde; üzerinde,위에,sopra
22,abroad,خارج از کشور,在国外 (zài guówài),विदेश में (videś mein),en el extranjero,à l'étranger,في الخارج (fī al-khārij),বিদেশে (bideshe),no exterior,за границей,بیرون ملک (bairūn mulk),di luar negeri,im Ausland,海外で (kaigai de),nje ya nchi,परदेशात (paradeśāt),విదేశాలలో (vidēśālalō),yurt dışında,해외에 (haeoee),all'estero
23,abruptly,ناگهان; بی‌مقدمه,突然地 (tūrán de),अचानक (achānak),abruptamente,brusquement,فجأة (fajʾatan),হঠাৎ (hothat),abruptamente,внезапно,اچانک (achānak),tiba-tiba,abrupt; plötzlich,突然 (totsuzen),ghafla,अकस्मात (akasmāt),అకస్మాత్తుగా (akasmāttugā),aniden; apansızın,갑자기 (gapjagi),bruscamente
24,absence,غیبت; نبود,缺席 (quēxí),अनुपस्थिति (anupasthiti),ausencia,absence,غياب (ghiyāb),অনুপস্থিতি (onuposthiti),ausência,отсутствие,غیر موجودگی (ghair maujūdgī),ketidakhadiran,Abwesenheit,不在 (fuzai),kutokuwepo,अनुपस्थिती (anupasthitī),లేకపోవడం (lēkapōvaḍaṁ),yokluk; devamsızlık,부재 (bujae),assenza
25,absent,غایب,缺席的 (quēxí de),अनुपस्थित (anupasthit),ausente,absent,غائب (ghāʾib),অনুপস্থিত (onuposthit),ausente,отсутствующий,غیر حاضر (ghair hāzir),absen,abwesend,欠席の (kesseki no),hayupo,अनुपस्थित (anupasthit),హాజరుకాని (hājarukāni),yok; devamsız,결석한 (gyeolseoghan),assente
26,absentee,شخص غایب,缺席者 (quēxízhě),अनुपस्थित व्यक्ति (anupasthit vyakti),ausente,absent,شخص غائب (shakhṣ ghāʾib),অনুপস্থিত ব্যক্তি (onuposthit bekti),ausente,отсутствующий,غیر حاضر شخص (ghair hāzir shakhs),orang yang absen,Abwesender,欠席者 (kessekisha),asiyekuwepo,गैरहजर (gairahajar),హాజరుకాని వ్యక్తి (hājarukāni vyakti),devamsız,결석자 (gyeolseogja),assenteista
27,absolute,مطلق; کامل,绝对的 (juéduì de),पूर्ण (pūrṇ),absoluto,absolu,مطلق (muṭlaq),পরম (porom),absoluto,абсолютный,مطلق (mutlaq),mutlak,absolut,絶対的な (zettaitekina),kamili,निरपेक्ष (nirapekṣ),సంపూర్ణ (sampūrṇa),mutlak; kesin,절대적인 (jeoldaejeog-in),assoluto
28,absolutely,کاملاً; قطعاً,完全地 (wánquán de),बिल्कुल (bilkul),absolutamente,absolument,تماماً (tamāman),পুরোপুরি (puro-puri),absolutamente,абсолютно,بالکل (bilkul),benar-benar,absolut; völlig,完全に (kanzen ni),kabisa,पूर्णपणे (pūrṇapaṇe),ఖచ్చితంగా (khaccitaṅgā),kesinlikle; tamamen,완전히 (wanjeonhi),assolutamente
29,absorb,جذب کردن,吸收 (xīshōu),सोखना (sokhnā),absorber,absorber,يمتص (yamtaṣṣ),শোষণ করা (shoshon kora),absorver,поглощать,جذب کرنا (jazb karna),menyerap,absorbieren; aufnehmen,吸収する (kyūshū suru),kunyonya,शोषून घेणे (śoṣūn gheṇe),శోషించడం; శోషించు,emmek; soğurmak,흡수하다 (heupsuhada),assorbire
30,abstract,انتزاعی; مجرد,抽象的 (chōuxiàng de),अमूर्त (amūrt),abstracto,abstrait,مجرد (mujarrad),বিমূর্ত (bimurto),abstrato,абстрактный,تجریدی (tajrīdī),abstrak,abstrakt,抽象的な (chūshōtekina),dhahania,अमूर्त (amūrta),అమూర్త (amūrta),soyut,추상적인 (chusangjeog-in),astratto
31,abstraction,مفهوم انتزاعی,抽象 (chōuxiàng),अमूर्तता (amūrtatā),abstracción,abstraction,تجريد (tajrīd),বিমূর্ততা (bimurtota),abstração,абстракция,تجرید (tajrīd),abstraksi,Abstraktion,抽象化 (chūshōka),dhana,अमूर्तता (amūrtatā),అమూర్తత (amūrtata),soyutlama,추상 (chusang),astrazione
32,absurd,پوچ; بی‌معنی; مضحک,荒谬的 (huāngmiù de),बेतुका (betukā),absurdo,absurde,سخيف (sakhīf),অবাস্তব (obastob),absurdo,абсурдный; нелепый,لغو (laghv),absurd,absurd; albern,不条理な (fujōrina),upuuzi,अतर्क्य (atarkya),అసంబద్ధమైన (asamband'dhamaina),saçma; anlamsız,터무니없는 (teomunieobsneun),assurdo
33,abundance,فراوانی; وفور,丰富 (fēngfù),प्रचुरता (prachurtā),abundancia,abondance,وفرة (wafrah),প্রাচুর্য (prachurjo),abundância,изобилие,کثرت (kasrat),kelimpahan,Fülle; Überfluss,豊富 (hōfu),wingi,विपुलता (vipulatā),సమృద్ధి (samr̥d'dhi),bolluk; bereket,풍부 (pungbu),abbondanza
34,abundant,فراوان,丰富的 (fēngfù de),प्रचुर (prachur),abundante,abondant,وفير (wafīr),প্রচুর (prochur),abundante,обильный,وافر (wāfir),berlimpah,reichlich,豊富な (hōfuna),tele,विपुल (vipul),సమృద్ధిగా (samr̥d'dhigā),bol; çok,풍부한 (pungbuhan),abbondante
35,abundantly,به وفور,丰富地 (fēngfù de),बहुतायत से (bahutāyat se),abundantemente,abondamment,بوفرة (biwafrah),প্রচুর পরিমাণে (prochur porimane),abundantemente,обильно,کثرت سے (kasrat se),dengan berlimpah,reichlich,豊富に (hōfu ni),kwa wingi,विपुल प्रमाणात (vipul pramāṇāt),సమృద్ధిగా (samr̥d'dhigā),bolca; fazlasıyla,풍부하게 (pungbuhage),abbondantemente
36,abuse,سوء استفاده; آزار,滥用 (lànyòng); 虐待 (nüèdài),दुरुपयोग (durupayog); गाली (gālī),abuso; maltrato,abus; maltraitance,إساءة (isāʾah); إيذاء (īdhāʾ),অপব্যবহার (opobebohar),abuso; maus-tratos,злоупотребление; оскорбление,زیادتی (ziyādatī); گالی (gālī),penyalahgunaan; pelecehan,Missbrauch; Beschimpfung,乱用 (ran'yō); 虐待 (gyakutai),matumizi mabaya; dhuluma,गैरवापर (gairavāpar); शिवीगाळ (śivīgāḷ),దుర్వినియోగం (durviniyōgaṁ),kötüye kullanma; istismar; taciz,남용; 학대 (namyong; hagdae),abuso; maltrattamento
37,academic,دانشگاهی; آکادمیک,学术的 (xuéshù de),शैक्षणिक (śaikṣaṇik),académico,académique,أكاديمي (akadīmī),একাডেমিক (ekademik),acadêmico,академический,تعلیمی (ta'alīmī),akademis,akademisch,学術的な (gakujutsutekina),kielimu,शैक्षणिक (śaikṣaṇik),విద్యాసంబంధమైన (vidyāsambandhamaina),akademik,학문적인 (hagmunjeog-in),accademico
38,academy,آکادمی; فرهنگستان,学院 (xuéyuàn),अकादमी (akādamī),academia,académie,أكاديمية (akadīmiyyah),একাডেমি (ekademi),academia,академия,اکیڈمی (academy),akademi,Akademie,アカデミー (akademī),chuo,अकादमी (akādamī),అకాడమీ (akāḍamī),akademi,아카데미 (akademī),accademia
39,accelerate,شتاب دادن; تسریع کردن,加速 (jiāsù),तेजी लाना (tejī lānā),acelerar,accélérer,يسرّع (yusarriʿ),ত্বরান্বিত করা (torannito kora),acelerar,ускорять,تیز کرنا (tez karna),mempercepat,beschleunigen,加速する (kasoku suru),kuharakisha,गति देणे (gati dēṇē),వేగవంతం చేయడం; వేగవంతం చేయు,hızlandırmak,가속하다 (gasoghada),accelerare
40,accent,لهجه,口音 (kǒuyīn),लहजा (lahjā),acento,accent,لكنة (laknah),উচ্চারণভঙ্গি; অ্যাকসেন্ট,sotaque,акцент,لہجہ (lehja),aksen,Akzent,アクセント (akusento),lafudhi,उच्चार (uccār),యాస (yāsa),aksan; şive,악센트 (agsenteu),accento
41,accept,پذیرفتن; قبول کردن,接受 (jiēshòu),स्वीकार करना (svīkār karnā),aceptar,accepter,يقبل (yaqbal),গ্রহণ করা (grohon kora),aceitar,принимать,قبول کرنا (qubūl karnā),menerima,akzeptieren; annehmen,受け入れる (ukeireru),kukubali,स्वीकार करणे (svīkār karṇe),అంగీకరించు (aṅgīkarin̄cu),kabul etmek,받아들이다 (bad-adeul-ida),accettare
42,acceptable,قابل قبول,可接受的 (kě jiēshòu de),स्वीकार्य (svīkārya),aceptable,acceptable,مقبول (maqbūl),গ্রহণযোগ্য (grohonjoggo),aceitável,приемлемый,قابل قبول (qābil-e-qubūl),dapat diterima,akzeptabel,許容できる (kyoyō dekiru),inakubalika,स्वीकार्य (svīkārya),ఆమోదయోగ్యమైన (āmōdayōgyamaina),kabul edilebilir,받아들일 수 있는 (bad-adeul-il su issneun),accettabile
43,acceptance,پذیرش,接受 (jiēshòu),स्वीकृति (svīkṛti),aceptación,acceptation,قبول (qabūl),গ্রহণ (grohon),aceitação,принятие,قبولیت (qubūliyat),penerimaan,Annahme; Akzeptanz,受け入れ (ukeire),kukubalika,स्वीकृती (svīkr̥tī),అంగీకారం (aṅgīkāraṁ),kabul,수락 (sulag),accettazione
44,access,دسترسی,访问 (fǎngwèn),पहुंच (pahunch),acceso,accès,وصول (wuṣūl),অ্যাক্সেস (ekses),acesso,доступ,رسائی (rasā'ī),akses,Zugang; Zugriff,アクセス (akusesu),ufikiaji,प्रवेश (pravēś),యాక్సెస్ (yākses),erişim; giriş,접근 (jeobgeun),accesso
45,accessibility,قابلیت دسترسی,可访问性 (kě fǎngwèn xìng),अभिगम्यता (abhigamyatā),accesibilidad,accessibilité,إمكانية الوصول (imkāniyyat al-wuṣūl),অ্যাক্সেসযোগ্যতা (eksesjog-gota),acessibilidade,доступность,رسائی (rasā'ī),aksesibilitas,Zugänglichkeit,アクセシビリティ (akuseshibiriti),upatikanaji,प्रवेशयोग्यता (pravēśayōgyatā),ప్రాప్యత (prāpyata),erişilebilirlik,접근성 (jeobgeunsseong),accessibilità
46,accessible,قابل دسترس,可访问的 (kě fǎngwèn de),सुलभ (sulabh),accesible,accessible,يمكن الوصول إليه (yumkin al-wuṣūl ilayh),সহজলভ্য (shojolob-bho),acessível,доступный,قابل رسائی (qābil-e-rasā'ī),dapat diakses,zugänglich; erreichbar,アクセス可能な (akusesu kanōna),inayofikiwa,सुगम (sugam),ప్రాప్యమైన (prāpyamaina),erişilebilir; ulaşılabilir,접근 가능한 (jeobgeun ganeunghan),accessibile
47,accessory,لوازم جانبی,配件 (pèijiàn),सहायक उपकरण (sahāyak upkaraṇ),accesorio,accessoire,ملحق (mulḥaq),আনুষঙ্গিক (anushongik),acessório,аксессуар,لوازمات (lawāzimāt),aksesori,Accessoire; Zubehör,アクセサリー (akusesarī),nyongeza,ऍक्सेसरी (ĕksesari),అనుబంధ (anubandha),aksesuar,액세서리 (aegseseoli),accessorio
48,accident,تصادف; حادثه,事故 (shìgù),दुर्घटना (durghaṭnā),accidente,accident,حادث (ḥādith),দুর্ঘটনা (durghotona),acidente,авария; несчастный случай,حادثہ (hādisa),kecelakaan,Unfall,事故 (jiko),ajali,अपघात (apaghāt),ప్రమాదం (pramādaṁ),kaza,사고 (sago),incidente
49,accidental,تصادفی; اتفاقی,偶然的 (ǒurán de),आकस्मिक (ākasmik),accidental,accidentel,عرضي (ʿaraḍī),আকস্মিক (akoshmik),acidental,случайный,اتفاقی (ittifāqī),tidak disengaja,zufällig,偶然の (gūzen no),kwa bahati,आकस्मिक (ākasmik),యాదృచ్ఛిక (yādr̥cchika),kazara; tesadüfi,우연한 (uyeonhan),accidentale
50,accidentally,به طور تصادفی,偶然地 (ǒurán de),संयोग से (sanyog se),accidentalmente,accidentellement,بالصدفة (bi-l-ṣudfah),আকস্মিকভাবে (akoshmikbhabe),acidentalmente,случайно,اتفاق سے (ittifāq se),secara tidak sengaja,versehentlich; zufällig,誤って (ayamatte); 偶然に (gūzen ni),kwa bahati mbaya,अपघाताने (apaghātānē),ప్రమాదవశాత్తు (pramādavaśāttu),yanlışlıkla; kazara,우연히 (uyeonhi),accidentalmente
51,accommodation,[محل اقامت; جا],[住宿 (zhùsù)],[आवास (āvās)],[alojamiento],[logement],[سكن (sakan)],[বাসস্থান (bashosthan)],[acomodação],[жилье; размещение],[رہائش (rihāish)],[akomodasi],[Unterkunft],[宿泊施設 (shukuhaku shisetsu)],[malazi],[निवास (nivās)],[వసతి (vasati)],[konaklama; kalacak yer],[숙소 (sugso)],[alloggio]
51,accommodate,جا دادن; تطبیق دادن,容纳; 提供住宿 (róngnà; tígōng zhùsù),समायोजित करना (samāyojit karnā),acomodar; alojar,héberger; loger,يُسكِن; يستوعب (yuskin; yastawʿib),နေရာထိုင်ခင်းပေးသည် (sthān dēōẏā),acomodar,размещать; вмещать,جگہ دینا (jagah denā),menampung,unterbringen,収容する (shūyō suru),kuhifadhi,सामावून घेणे (sāmāvūna ghēṇē),సర్దుబాటు చేయు (sardubāṭu cēyu),yerleştirmek; barındırmak,수용하다 (suyonghada),ospitare; alloggiare
52,accommodation,محل اقامت; جا,住宿 (zhùsù),आवास (āvās),alojamiento,logement,سكن (sakan),বাসস্থান (bashosthan),acomodação,жилье; размещение,رہائش (rihāish),akomodasi,Unterkunft,宿泊施設 (shukuhaku shisetsu),malazi,निवास (nivās),వసతి (vasati),konaklama; kalacak yer,숙소 (sugso),alloggio
53,accompany,همراهی کردن,陪伴 (péibàn),साथ देना (sāth denā),acompañar,accompagner,يرافق (yurāfiqu),সঙ্গে থাকা (shonge thaka),acompanhar,сопровождать,ساتھ دینا (sāth denā),menemani,begleiten,同行する (dōkō suru),kusindikiza,सोबत करणे (sōbata karaṇē),తోడుగా వెళ్ళు (tōḍugā veḷḷu),eşlik etmek,동행하다 (donghaenghada),accompagnare
54,accomplish,به انجام رساندن,完成 (wánchéng),पूरा करना (pūrā karnā),lograr; realizar,accomplir,ينجز (yunjizu),সম্পন্ন করা (shomponno kora),realizar,выполнять; завершать,انجام دینا (anjām denā),menyelesaikan,erreichen; vollbringen,成し遂げる (nashitogeru),kutimiza,पूर्ण करणे (pūrṇa karaṇē),సాధించు (sādhin̄cu),başarmak; tamamlamak,성취하다 (seongchwihada),compiere; realizzare
55,accomplishment,دستاورد; موفقیت,成就 (chéngjiù),उपलब्धि (uplabdhi),logro,accomplissement,إنجاز (injāz),কৃতিত্ব (krititto),realização,достижение,کامیابی (kāmyābī),pencapaian,Leistung; Errungenschaft,達成 (tassei),mafanikio,सिद्धि (sid'dhī),సాధించినది (sādhin̄cinadi),başarı,성취; 업적 (seongchwi; eobjeog),compimento; realizzazione
56,according,بر اساس,根据 (gēnjù),के अनुसार (ke anusār),según,selon,حسب (ḥasaba),অনুযায়ী (onujayi),de acordo,согласно,کے مطابق (ke mutābiq),menurut,gemäß,～によれば (~ni yoreba),kulingana na,नुसार (nusār),ప్రకారం (prakāraṁ),göre,~에 따라 (~e ttara),secondo
57,according to,طبق; بر اساس,根据 (gēnjù),के अनुसार (ke anusār),según,selon,وفقاً لـ (wifqan li),অনুসারে (onushare),de acordo com,в соответствии с,کے مطابق (ke mutābiq),menurut,laut; gemäß,～によると (~ni yoru to),kulingana na,नुसार (nusār),ప్రకారం (prakāraṁ),göre,~에 따르면 (~e ttareumyeon),secondo; in base a
58,accordingly,بنابراین; از این رو,因此 (yīncǐ),तदनुसार (tadanusār),en consecuencia,en conséquence,بناء على ذلك (bināʾan ʿalā dhālik),তদনুসারে (todonusare),consequentemente,соответственно,اس کے مطابق (uske mutābiq),demikian,dementsprechend,それに応じて (sore ni ōjite),hivyo basi,त्यानुसार (tyānusār),తదనుగుణంగా (tadanuguṇaṅgā),buna göre; dolayısıyla,따라서 (ttaraseo),di conseguenza
59,account,حساب; گزارش,账户 (zhànghù); 报告 (bàogào),खाता (khātā); विवरण (vivaraṇ),cuenta; informe,compte; rapport,حساب (ḥisāb); تقرير (taqrīr),হিসাব (hishab); বিবরণ (biboron),conta; relatório,счет; отчет,اکاؤنٹ (account); روداد (rūdād),akun; laporan,Konto; Bericht,口座 (kōza); 報告 (hōkoku),hesabu; ripoti,खाते (khātē); अहवाल (ahavāl),ఖాతా (khātā); నివేదిక (nivēdika),hesap; rapor,계좌; 설명 (gyejwa; seolmyeong),conto; resoconto
60,accountability,پاسخگویی,问责制 (wénzézhì),जवाबदेही (javābdehī),responsabilidad,responsabilité,مساءلة (musāʾalah),জবাবদিহিতা (jobabdi-hita),responsabilidade,подотчетность,جوابدہی (jawābdehī),akuntabilitas,Rechenschaftspflicht,説明責任 (setsumei sekinin),uwajibikaji,उत्तरदायित्व (uttaradāyitva),జవాబుదారీతనం (javābudārītanaṁ),hesap verebilirlik,책임 (chaeg-im),responsabilità
61,accountable,پاسخگو; مسئول,有责任的 (yǒu zérèn de),उत्तरदायी (uttardāyī),responsable,responsable,مسؤول (masʾūl),দায়ী (dayi),responsável,ответственный,جوابدہ (jawābdeh),bertanggung jawab,verantwortlich,責任がある (sekinin ga aru),anayewajibika,जबाबदार (jabābadār),జవాబుదారీ (javābudārī),sorumlu,책임이 있는 (chaeg-im-i issneun),responsabile
62,accountant,حسابدار,会计 (kuàijì),मुनीम (munīm),contador,comptable,محاسب (muḥāsib),হিসাবরক্ষক (hishab-rokkhok),contador,бухгалтер,اکاؤنٹنٹ (accountant),akuntan,Buchhalter,会計士 (kaikeishi),mhasibu,हिशोबनीस (hiśōbanīs),అకౌంటెంట్ (akaṇṭeṇṭ),muhasebeci,회계사 (hoegyesa),contabile
63,accrue,تعلق گرفتن; انباشته شدن,产生 (chǎnshēng),प्रोद्भूत होना (prodbhūt honā),acumularse,s'accumuler,تتراكم (tatarākam),জমা হওয়া (joma howa),acumular,накапливаться,جمع ہونا (jam' honā),bertambah,anfallen; erwachsen,生じる (shōjiru),kukusanyika,जमा होणे (jamā hōṇē),పెరుగు (perugu),birikmek; tahakkuk etmek,발생하다 (balsaenghada),maturare
64,accumulate,انباشتن; جمع کردن,积累 (jīlěi),इकट्ठा करना (ikaṭṭhā karnā),acumular,accumuler,يجمع (yajmaʿ),জড়ো করা (joro kora),acumular,накапливать,جمع کرنا (jam' karnā),mengumpulkan,ansammeln,蓄積する (chikuseki suru),kukusanya,जमा करणे (jamā karaṇē),పోగుచేయు (pōgucēyu),biriktirmek; toplamak,축적하다 (chugjeoghada),accumulare
65,accumulation,انباشت; تجمع,积累 (jīlěi),संचय (sañcay),acumulación,accumulation,تراكم (tarākum),জড়ো করা (joro kora),acumulação,накопление,جمع (jam'),akumulasi,Ansammlung,蓄積 (chikuseki),mkusanyiko,संचय (san̄caya),సంచితం (san̄citaṁ),birikim; yığılma,축적 (chugjeog),accumulazione
66,accuracy,دقت; صحت,准确性 (zhǔnquèxìng),सटीकता (saṭīkatā),precisión,précision,دقة (diqqah),সঠিকতা (sothikota),precisão,точность,صحت (sihat),akurasi,Genauigkeit,正確さ (seikakusa),usahihi,अचूकता (acūkatā),ఖచ్చితత్వం (khaccitatvaṁ),doğruluk; hassasiyet,정확성 (jeonghwagseong),accuratezza
